tSec,x,y,z,vx,vy,vz,
8220,6062181.42658207,2106586.03721228,-4285984.47989766,2145.95878655732,4449.60471972104,5219.09852114547,
8280,6181416.33210257,2370137.78136255,-3966301.57872237,1827.49334930305,4333.16474767312,5434.22841221723,
8340,6281365.25664579,2626294.87872917,-3634216.10167535,1503.2599726747,4203.1798040045,5632.40849005846,
8400,6361712.40972002,2874256.45519621,-3290764.16699265,1174.2711886322,4060.05112960899,5813.01003639059,
8460,6422203.261468,3113246.97796909,-2937017.9869651,841.55595376573,3904.22200028473,5975.45899233802,
8520,6462645.43128929,3342518.74133932,-2574082.52487583,506.156401678839,3736.1764895841,6119.23805859507,
8580,6482909.37767393,3561354.27276293,-2203092.02954792,169.124460185955,3556.43803927341,6243.88866032731,
8640,6482928.88163634,3769068.6467219,-1825206.45868467,-168.481631178517,3365.56782116457,6349.01267412922,
8700,6462701.32056372,3965011.69572404,-1441607.80674983,-505.600812927966,3164.1629610438,6434.27388998135,
8760,6422287.73284652,4148570.11209785,-1053496.35106239,-841.172698108213,2952.85467322278,6499.39929218967,
8820,6361812.67061865,4319169.43361822,-662086.825453957,-1174.1411556928,2732.30623546933,6544.18017846997,
8880,6281463.83496651,4476275.90112172,-268604.535157067,-1503.45795600625,2503.21075134903,6568.47297721311,
8940,6181491.4941399,4619398.17725913,125718.566885769,-1828.08634231663,2266.28877506352,6572.19972400925,
9000,6062207.69089275,4748088.92062674,519647.823666329,-2147.0044884161,2022.28587542385,6555.34826219664,
9060,5923985.24532286,4861946.21272379,911949.823454923,-2459.20886599296,1771.97016299814,6517.97224424342,
9120,5767256.55697243,4960614.83422019,1301396.34388532,-2763.7175739668,1516.12972970924,6460.19094514076,
9180,5592512.20871724,5043787.38439608,1686768.27714762,-3059.57360310119,1255.56998955821,6382.18880925543,
9240,5400299.37850082,5111205.23979236,2066859.52001511,-3345.84797289489,991.110988212182,6284.21474406544,
9300,5191220.06620513,5162659.35090707,2440480.81566466,-3621.64276519569,723.584687805052,6166.58122309663,
9360,4965929.14090254,5197990.87403147,2806463.53540215,-3886.0940748654,453.832182024952,6029.66316941585,
9420,4725132.21458974,5217091.63392534,3163663.38541639,-4138.37483269762,182.700849266539,5873.89656772986,
9480,4469583.35193642,5219904.41526282,3510964.02194146,-4377.69743962361,-88.9584963886459,5699.77680496473,
9540,4200082.62852731,5206423.08461447,3847280.56019906,-4603.3161828741,-360.294399111503,5507.85680296769,
9600,3917473.55010219,5176692.54671223,4171562.96690364,-4814.5294606076,-630.457494256798,5298.74501165179,
9660,3622640.34299105,5130808.53804114,4482799.32857976,-5010.68185625085,-898.60320090564,5073.10327353795,
9720,3316505.12416397,5068917.25976434,4780018.9872045,-5191.16607501329,-1163.89438553424,4831.64453075162,
9780,3000024.96004102,4991214.85189186,5062295.53288805,-5355.42470639208,-1425.50398539298,4575.13035285149,
9840,2674188.82593367,4897946.71217032,5328749.64358162,-5502.95177064831,-1682.61755536007,4304.3683208442,
9900,2340014.47900419,4789406.6648749,5578551.76526107,-5633.29406218876,-1934.4357267759,4020.20933521279,
9960,1998545.25543895,4665935.983921,5810924.6289809,-5746.05233975335,-2180.17661209766,3723.5448657082,
10020,1650846.80044136,4527922.27263317,6025145.59981547,-5840.88236954205,-2419.0781751606,3415.30408685291,
10080,1298003.74132493,4375798.20368677,6220548.84982287,-5917.49577198916,-2650.40050831933,3096.4508846419,
10140,941116.315723334,4210040.12652631,6396527.34952565,-5975.66068028767,-2873.42797457048,2767.98081375278,
10200,581296.964386343,4031166.54919437,6552534.67618677,-6015.20226897398,-3087.47126266918,2430.91802701868,
10260,219666.896186435,3839736.49841093,6688086.63554614,-6036.00314199234,-3291.86938877269,2086.31211919775,
10320,-142647.364315684,3636347.76222483,6802762.69135652,-6038.00351893333,-3485.99159736121,1735.23488651017,
10380,-504517.434433921,3421635.02286806,6896207.20008909,-6021.2012298584,-3669.23912078846,1378.77708739766,
10440,-864816.526744347,3196267.88723133,6968130.45251492,-5985.65159265777,-3841.0468455342,1018.04523943792,
10500,-1222422.89234783,2960948.81857916,7018309.52234965,-5931.46719211068,-4000.88493970592,654.158373670701,
10560,-1576223.24633981,2716410.9726881,7046588.91716812,-5858.81749629609,-4148.26039750451,288.244691457778,
10620,-1925116.16449377,2463415.94555815,7052881.02723663,-5767.92828294426,-4282.71843801958,-78.5618139573052,
10680,-2268015.44043087,2202751.44142,7037166.37230167,-5659.0808996177,-4403.84376905113,-445.124707934925,
10740,-2603853.39380031,1935228.8682413,6999493.64868522,-5532.61137311332,-4511.26174160318,-810.308419364233,
10800,-2931584.12116759,1661680.86725194,6939979.57954856,-5388.90939745475,-4604.63939440616,-1172.9814969543,
10860,-3250186.68351848,1382958.78282132,6858808.57096617,-5228.41723591138,-4683.68640244647,-1532.01983077391,
10920,-3558668.22507586,1099930.07771182,6756232.1749028,-5051.62852287528,-4748.15594952103,-1886.30987171447,
10980,-3856067.01638263,813475.698640855,6632568.35889042,-4859.08693615283,-4797.84550766973,-2234.75185250293,
11040,-4141455.41406421,524487.398186352,6488200.58280605,-4651.38475004122,-4832.59751507703,-2576.26299626636,
11100,-4413942.73015962,233865.018611606,6323576.68334164,-4429.16126319361,-4852.29996932277,-2909.78071946,
11160,-4672678.00270264,-57486.2572886479,6139207.56655702,-4193.10107763407,-4856.88693051524,-3234.26582374766,
11220,-4916852.65867385,-348658.682400928,5935665.70940766,-3943.93223340915,-4846.33891731363,-3548.70567354604,
