MJD,X_ECI,Y_ECI,Z_ECI,VX_ECI,VY_ECI,VZ_ECI,
59349.032905092601140,1298003.112635465804487,4375798.275890350341797,6220548.907401211559772,-5917.496191261000604,-2650.400368365041231,3096.450310784247449,
59349.033599536996917,941115.665015800739639,4210040.205926717258990,6396527.372709472663701,-5975.661074217846362,-2873.427837005965557,2767.980233085478176,
59349.034293981501833,581296.292906078160740,4031166.636763279326260,6552534.664151546545327,-6015.202635453654693,-3087.471128001935995,2430.917439063883648,
59349.034988425897609,219666.205116888944758,3839736.593384492211044,6688086.588155205361545,-6036.003478371629171,-3291.869258075287689,2086.311526271621460,
59349.035682870402525,-142648.072154268098529,3636347.864813391584903,6802762.608078672550619,-6038.003823982759968,-3485.991470517777998,1735.234290329152600,
59349.036377314798301,-504518.157766410789918,3421635.132442908361554,6896207.081306076608598,-6021.201501177321006,-3669.238997827460025,1378.776489914624335,
59349.037071759303217,-864817.263124915421940,3196268.003250913694501,6968130.298312754370272,-5985.651828533036678,-3841.046727230616852,1018.044642530862347,
59349.037766203698993,-1222423.638960026670247,2960948.941423961427063,7018309.332729690708220,-5931.467392596438003,-4000.884825997740336,654.157779060333382,
59349.038460648102046,-1576224.002135864226148,2716411.101543440949172,7046588.693367594853044,-5858.817658897830370,-4148.260289021459357,288.244100977361768,
59349.039155092599685,-1925116.926229608245194,2463416.080273817759007,7052880.768167265690863,-5767.928407494284329,-4282.718334408458759,-78.562397799670237,
59349.039849537002738,-2268016.206822589505464,2202751.582447704393417,7037166.080098674632609,-5659.080984542475562,-4403.843670762224065,-445.125284433194906,
59349.040543981500377,-2603854.161848480813205,1935229.014652600279078,6999493.322927521541715,-5532.611418669138402,-4511.261647648208054,-810.308985968552747,
59349.041238425903430,-2931584.888202517293394,1661681.018522732658312,6939979.220892607234418,-5388.909402456171847,-4604.639305378579593,-1172.982051412577448,
59349.041932870401070,-3250187.447000957094133,1382958.939020629972219,6858808.180237564258277,-5228.417199281846479,-4683.686318193162151,-1532.020370965543407,
59349.042627314796846,-3558668.983374960254878,1099930.238618352916092,6756231.753608902916312,-5051.628444939387009,-4748.155869861458086,-1886.310396468779572,
59349.043321759301762,-3856067.766665057279170,813475.863801290630363,6632567.908291427418590,-4859.086816597789038,-4797.845433411371232,-2234.752359124287068,
59349.044016203697538,-4141456.154061984736472,524487.566339445416816,6488200.103287226520479,-4651.384589283205059,-4832.597445435660120,-2576.263482445156114,
59349.044710648202454,-4413943.457272827625275,233865.190875124622835,6323576.176196412183344,-4429.161060944480596,-4852.299904249669453,-2909.781182475296646,
59349.045405092598230,-4672678.715015741065145,-57486.081366617312597,6139207.033905378542840,-4193.100834325889991,-4856.886870411763084,-3234.266262302709038,
59349.046099537001282,-4916853.352896022610366,-348658.503714811580721,5935665.153044671751559,-3943.931949840914513,-4846.338863030249740,-3548.706084878235288,
59349.046793981498922,-5145703.734969140961766,-638744.559962941100821,5713582.892225336283445,-3682.423872525851039,-4820.683121789897996,-3852.117750133773370,
59349.047488425901975,-5358513.580405155196786,-926839.774210450006649,5473650.613999290391803,-3409.385329819131130,-4779.993717257162643,-4143.551246406692371,
59349.048182870399614,-5554616.252255938947201,-1212045.518931491766125,5216614.615557917393744,-3125.661981769108934,-4724.391495505695275,-4422.092550208138164,
59349.048877314802667,-5733396.898773661814630,-1493471.816094784066081,4943274.883128902874887,-2832.133914517175072,-4654.043868438079699,-4686.866652353841346,
59349.049571759300306,-5894294.441478176973760,-1770240.117401025723666,4654482.658059251494706,-2529.712970634122485,-4569.164437910478227,-4937.040400429484180,
59349.050266203703359,-6036803.394901470281184,-2041486.067976680817083,4351137.848553866147995,-2219.340013886282122,-4470.012505731673627,-5171.825219390904749,
59349.050960648200999,-6160475.526185718365014,-2306362.226779271848500,4034186.274086056277156,-1901.982117622787200,-4356.892433530566450,-5390.479753321555108,
59349.051655092596775,-6264921.341580825857818,-2564040.741778236813843,3704616.753453579731286,-1578.629617943184485,-4230.152855079682922,-5592.312417467547675,
59349.052349536999827,-6349811.385949637740850,-2813715.990372595842928,3363458.048451848793775,-1250.293045669841149,-4090.185747630326205,-5776.683810521420128,
59349.053043981497467,-6414877.364472712390125,-3054607.138667894061655,3011775.662182770203799,-917.999925883329865,-3937.425361301475277,-5943.008985177658360,
59349.053738425900519,-6459913.061650230549276,-3285960.647465121466666,2650668.505948498379439,-582.791462942981070,-3772.346960277194285,-6090.759555923648804,
