MJD,Interpolated_X,Interpolated_Y,Interpolated_Z,Interpolated_VX,Interpolated_VY,Interpolated_VZ
59350.52843109723,-4506491.5416883575,360602.91442538454,6252059.479638301,-4591.01680323969,-4616.189998979199,-3040.2006633296205
59350.52845222801,-4514866.8552359855,352174.6199346058,6246499.947662031,-4583.887624463581,-4616.753410808193,-3050.09966170331
59350.5284733588,-4523229.140926962,343745.308994384,6240922.351104416,-4576.745183601043,-4617.3035041293415,-3059.989888676966
59350.528494489576,-4531578.3716892805,335315.0088302113,6235326.7079387335,-4569.589503510969,-4617.840277042782,-3069.871312274315
59350.528515620375,-4539914.5348469755,326883.73215538374,6229713.026534849,-4562.420594755134,-4618.36372859454,-3079.7439175449404
59350.52853675116,-4548237.591916775,318451.51781350735,6224081.3326956965,-4555.23849013845,-4618.8738562348335,-3089.607658960209
59350.528557881946,-4556547.524556916,310018.384329843,6218431.638760952,-4548.043205236169,-4619.37065872485,-3099.4625148194755
59350.52857901273,-4564844.308717997,301584.356038297,6212763.960981863,-4540.834760594096,-4619.854134498548,-3109.3084566446882
59350.52860014237,-4573127.470084655,293149.9161916748,6207078.625472294,-4533.613570036883,-4620.32425681235,-3119.1449210530723
59350.52862127315,-4581397.8860090105,284714.1713417836,6201375.02994153,-4526.378868418049,-4620.781075331933,-3128.9729499633454
59351.54338843749,-4477839.148778548,538166.0047897763,6259866.378751184,-4767.781482066752,-4443.210050369059,-3025.805246371584
59351.54340935533,-4486449.631928466,530135.027794156,6254388.969189686,-4760.768829155642,-4444.045861438835,-3035.616682277607
59351.54343027199,-4495046.944838525,522103.0042011022,6248894.145248638,-4753.743076906055,-4444.869064993899,-3045.4190111984503
59351.54345118982,-4503632.02910968,514069.054263243,6243381.305042862,-4746.703455584823,-4445.6797510936185,-3055.2133067512145
59351.54347210648,-4512203.898850082,506034.1005157162,6237851.081563466,-4739.650773339731,-4446.477826533935,-3064.998444222845
59351.54349302315,-4520763.013867355,497997.71300376387,6232303.180232523,-4732.584653585721,-4447.263334967508,-3074.774948048835
59351.54351394097,-4529309.816275469,489959.47543573927,6226737.312233307,-4725.504729072637,-4448.036315915665,-3084.5433237592338
59351.54353485764,-4537843.345379314,481920.2912685073,6221154.103085921,-4718.411795332597,-4448.796682377685,-3094.3024733920197
59351.54355577546,-4546364.50906729,473879.3051406255,6215552.958695865,-4711.305097475429,-4449.544515140296,-3104.0534352692807
59351.54357669214,-4554872.352495395,465837.41802247806,6209934.506609429,-4704.185431578278,-4450.279730294805,-3113.795116779565
59351.54359760879,-4563367.308375067,457794.22196027316,6204298.4631559905,-4697.0524372775835,-4451.002366081224,-3123.528012926764
59351.54361852662,-4571849.839125136,449749.27793795965,6198644.51927729,-4689.905724019996,-4451.712460772071,-3133.2526540494127
59351.54363944328,-4580318.967667948,441703.5125539285,6192973.326126218,-4682.746114732732,-4452.4099324559,-3142.967920034115
59351.54366035996,-4588775.151262696,433656.49246314255,6187284.579588241,-4675.573224599755,-4453.094819633357,-3152.674334958395
59351.54368127778,-4597218.820789324,425607.8064397898,6181577.987522339,-4668.386685848224,-4453.767156132393,-3162.3723939401702
59351.543702194445,-4605649.0271536205,417558.3591191082,6175854.19128475,-4661.187306009896,-4454.426866272741,-3172.0610069188842
59351.54372311227,-4614066.676037521,409507.28564911016,6170112.575841123,-4653.974311351359,-4455.074020808733,-3181.7412148072385
59351.54374402894,-4622470.812480303,401455.4993341916,6164353.792466309,-4646.748519898036,-4455.708546207481,-3191.411919442976
59351.5437649456,-4630861.875637294,393402.5805016225,6158577.542345989,-4639.509555836133,-4456.330476479543,-3201.0736256926743
59351.54378586227,-4639239.84754954,385348.54631679296,6152783.837745179,-4632.25743438794,-4456.939810177753,-3210.7263129090097
59351.54380678009,-4647605.163823303,377292.9768024006,6146972.3751135655,-4624.991776169229,-4457.536577895094,-3220.37048351275
59351.54382769676,-4655956.8754331255,369236.78577343625,6141143.813649447,-4617.713405180412,-4458.120711812369,-3230.005043425105
59351.54384861458,-4664295.879639033,361179.1076553799,6135297.527080563,-4610.421539216167,-4458.692274573757,-3239.6310277537455
59351.543869531255,-4672621.239094503,353120.84809410863,6129434.172446077,-4603.116997634599,-4459.251201808073,-3249.2473545204357
59351.54389044907,-4680933.839532582,345061.14970200614,6123553.125845288,-4595.799003035053,-4459.797552860344,-3258.8550468314334
59351.54391136575,-4689232.749472314,337000.9155491754,6117655.046187573,-4588.4683751740595,-4460.331266388669,-3268.453028109083
59351.5439322824,-4697518.3910496775,328939.73672313534,6111739.635592199,-4581.124742960231,-4460.852370402338,-3278.041786083444
59351.54395320024,-4705791.218100069,320877.1704544813,6105806.567711379,-4573.7677018152135,-4461.36089234021,-3287.6218465036663
59351.543974116896,-4714050.269068678,312814.1537869339,6099856.53204713,-4566.39810657851,-4461.856772975051,-3297.192095899153
59351.54399503357,-4722295.998550317,304750.24400349625,6093889.20324064,-4559.015553413678,-4462.340040465329,-3306.753060545986
59351.54401595139,-4730528.82376218,296685.0318515588,6087904.27700631,-4551.61966642746,-4462.810718152921,-3316.3052247471296
59351.54403686806,-4738747.818986651,288619.42412245594,6081902.426175449,-4544.211276943196,-4463.268752976797,-3325.8475144651497
59351.54405778588,-4746953.867525955,280552.55393198016,6075883.005646785,-4536.789588515502,-4463.714194052679,-3335.380955231996
59351.54407870255,-4755146.038426717,272485.3363707008,6069846.6982042445,-4529.355442840847,-4464.146990722604,-3344.9044655260245
59351.54409962037,-4763325.211808927,264416.90467635274,6063792.855252118,-4521.908040976243,-4464.567189365258,-3354.4190685155604
59351.54412053703,-4771490.46261563,256348.17131432897,6057722.161384768,-4514.448224954953,-4464.974742337495,-3363.923688123883
59351.544141453705,-4779642.226083456,248278.7072700438,6051634.295136822,-4506.975598927076,-4465.369672216429,-3373.4188304895365
59351.54416237152,-4787780.917492869,240208.10021274112,6045528.944005239,-4499.489779846929,-4465.751998001768,-3382.9049798645365
59351.54418328819,-4795905.622026696,232137.2572391496,6039406.7941619065,-4491.991608885172,-4466.121676598075,-3392.3810699866153
59351.54420420487,-4804016.767118271,224065.75483186872,6033267.525660074,-4484.480693364312,-4466.478728310174,-3401.8475988883233
59351.544225122685,-4812114.768795403,215993.1777542213,6027110.821248029,-4476.95664568216,-4466.823170331734,-3411.3050526483466
59351.5442460405,-4820199.160741549,207919.9896216716,6020937.033101237,-4469.4198967534285,-4467.154981712565,-3420.75288719615
59351.54426695718,-4828269.479651383,199846.6541849024,6014746.517175188,-4461.870880303407,-4467.474144296756,-3430.1905605886154
59351.54428787384,-4836326.13889591,191772.75902237123,6008538.958560857,-4454.309211497344,-4467.780675305674,-3439.6185557252634
59351.54430879051,-4844369.124037978,183698.31853315522,6002314.368289013,-4446.734903623402,-4468.074574066145,-3449.036855720901
59351.544329708326,-4852398.85037997,175622.9145298484,5996072.4225520445,-4439.147563187101,-4468.35585461642,-3458.4459474287564
59351.544350625,-4860414.415336481,167547.45464790525,5989813.822856496,-4431.548042758366,-4468.624485201406,-3467.8447732295986
59351.54437154166,-4868416.22948791,159471.52634998682,5983538.2508092495,-4423.935954916424,-4468.880480459372,-3477.233814042915
59351.544392459495,-4876404.722699145,151394.6945220382,5977245.36686909,-4416.31088832916,-4469.123852998489,-3486.61357479313
59351.54441337616,-4884378.980346975,143317.8838162231,5970935.891400841,-4408.673715720896,-4469.354574815165,-3495.9829815794014
59351.54443429398,-4892339.861917046,135240.22363055797,5964609.144272765,-4401.023613688773,-4469.57267065654,-3505.343044261555
59351.54445521064,-4900286.467036672,127162.62747468991,5958265.840942138,-4393.361447193849,-4469.77811572853,-3514.69270422409
59351.54447612732,-4908219.219342456,119084.6658338922,5951905.6454243325,-4385.686809602801,-4469.970921855088,-3524.0324593838222
59351.54449704398,-4916138.085292601,111006.37278524537,5945528.584501187,-4377.999733089851,-4470.151088086008,-3533.36227025565
59351.54451796181,-4924043.490270176,102927.31309991321,5939134.31317365,-4370.299802296464,-4470.318622941425,-3542.682638552755
59351.54453887963,-4931934.962478362,94847.96765435977,5932723.210610944,-4362.587474326119,-4470.473515262496,-3551.9930085705355
59351.5445597963,-4939812.052481448,86768.7977192286,5926295.644176633,-4354.863190307005,-4470.61575712377,-3561.2928495301508
59351.54458071296,-4947675.1692807395,78689.38493009149,5919851.282359896,-4347.126551057262,-4470.745356801705,-3570.582643773958
59351.54460163079,-4955524.732504287,70609.29681697952,5913389.778775783,-4339.377141242568,-4470.862320038766,-3579.8628876085545
59351.54462254745,-4963359.840706898,62529.46121835367,5906911.875351291,-4331.615850529797,-4470.966633264751,-3589.1325152905
59351.54464346528,-4971181.346540873,54448.99877668567,5900416.867032515,-4323.841834036683,-4471.058307699362,-3598.392535580283
59351.54466438194,-4978988.357222738,46368.83175320867,5893905.495076247,-4316.055978849212,-4471.137332739287,-3607.641891495465
59351.54468529977,-4986781.722331115,38288.08075500293,5887377.050769217,-4308.25743740029,-4471.203716838013,-3616.8815895768257
59351.54470621643,-4994560.546871957,30207.673698350423,5880832.283726451,-4300.447105001434,-4471.257452231771,-3626.110568731044
