tSec,x,y,z,vx,vy,vz,
2390,5709204.07438134,4999955.69455329,1402668.63121854,-2846.03870995771,1440.30834587765,6441.74055709115,
2400,5680496.34219206,5014141.59025474,1467024.0946579,-2895.46610584968,1396.85035848881,6429.2588546563,
2410,5651295.59188328,5027892.29934342,1531251.94465737,-2944.64161681669,1353.2716575526,6416.2180575837,
2420,5621604.36377754,5041206.63372779,1595346.59600717,-2993.56095200704,1309.57605355146,6402.6193214381,
2430,5591425.24099093,5054083.44347147,1659302.47530034,-3042.21984363836,1265.76736697961,6388.46385119761,
2440,5560760.84920036,5066521.61689161,1723114.02142623,-3090.61404738955,1221.84942798648,6373.75290112738,
2450,5529613.85640701,5078520.08065362,1786775.68606274,-3138.73934278938,1177.82607601941,6358.4877746475,
2460,5497986.97269593,5090077.79986242,1850281.93416717,-3186.59153360144,1133.70115946577,6342.66982419527,
2470,5465882.94999178,5101193.77814997,1913627.24446569,-3234.16644820525,1089.47853529485,6326.30045108234,
2480,5433304.58181076,5111867.05775936,1976806.10994134,-3281.45993997356,1045.16206869934,6309.38110534686,
2490,5400254.70300882,5122096.71962523,2039813.03832055,-3328.46788764558,1000.75563273675,6291.9132856011,
2500,5366736.18952614,5131881.88345062,2102642.55255807,-3375.18619569649,956.263107970603,6273.89853887489,
2510,5332751.95812797,5141221.70778024,2165289.19132039,-3421.61079470304,911.688382111575,6255.33846045498,
2520,5298304.96614174,5150115.39007015,2227747.50946746,-3467.73764170555,867.035349658455,6236.23469372079,
2530,5263398.21119068,5158562.16675384,2290012.07853279,-3513.56272056634,822.307911539018,6216.58892997659,
2540,5228034.73092381,5166561.31330473,2352077.48720186,-3559.08204232508,777.509974750733,6196.40290828047,
2550,5192217.60274239,5174112.14429505,2413938.34178875,-3604.29164555099,732.645452001287,6175.67841527001,
2560,5155949.94352287,5181214.01345119,2475589.2667111,-3649.18759669256,687.718261348835,6154.41728498496,
2570,5119234.9093364,5187866.31370533,2537024.90496318,-3693.76599042489,642.732325841882,6132.62139868679,
2580,5082075.69516479,5194068.47724362,2598239.91858725,-3738.02294999521,597.691573158614,6110.29268467498,
2590,5044475.53461308,5199819.97555063,2659228.98914295,-3781.95462756675,552.599935245506,6087.43311810003,
2600,5006437.69961866,5205120.31945021,2719986.81817491,-3825.55720456141,507.461347954953,6064.04472077264,
2610,4967965.50015702,5209969.05914277,2780508.12767834,-3868.82689200135,462.279750681702,6040.12956096879,
2620,4929062.28394397,5214365.78423883,2840787.66056272,-3911.75993084954,417.059085997862,6015.68975323001,
2630,4889731.43613459,5218310.12378902,2900820.1811134,-3954.35259234926,371.803299286299,5990.72745815841,
