tSec,x,y,z,vx,vy,vz,
6600,-1916789.49430016,-4640291.36190182,-5859925.37636173,5764.28001080365,2240.36740657981,-3657.43022844404,
6660,-1568126.37026987,-4498710.79122508,-6070108.47646719,5854.8029734924,2477.75160038649,-3346.85969567117,
6720,-1214578.24742338,-4343116.44334449,-6261340.73513997,5927.07232484599,2707.3729496725,-3025.89995594009,
6780,-857247.151626958,-4173995.49920625,-6433028.69852764,5980.87055976993,2928.52209978441,-2695.55250668433,
6840,-497246.450984734,-3991876.90323892,-6584639.8491926,6016.03716747971,3140.51661808539,-2356.84653770018,
6900,-135697.427197709,-3797329.69001346,-6715704.17282254,6032.46890573627,3342.70290970938,-2010.8357690689,
6960,226274.165227476,-3590961.19903297,-6825815.53478323,6030.11993381638,3534.4580325234,-1658.59527012848,
7020,587541.543507829,-3373415.18374064,-6914632.86482312,6009.00180281205,3715.19140654313,-1301.21824787772,
7080,946980.336212379,-3145369.8210727,-6981881.1489177,5969.18330442042,3884.34642478815,-939.812835497038,
7140,1303472.01028258,-2907535.62594033,-7027352.22859949,5910.79020425348,4041.40201997447,-575.49888124408,
7200,1655907.27781003,-2660653.27299682,-7050905.40654797,5834.0048243588,4185.87418231877,-209.404692381876,
7260,2003189.47243828,-2405491.32991846,-7052467.85480602,5739.06544711444,4317.31737672359,157.336278937505,
7320,2344237.88535349,-2142843.91038728,-7032034.82436909,5626.26557813501,4435.32580505757,523.588733484855,
7380,2677991.05432141,-1873528.25446674,-6989669.65738519,5495.95311521889,4539.53457624847,888.218817494742,
7440,3003409.99834715,-1598382.24086389,-6925503.60062098,5348.5293511686,4629.62079833406,1250.09745384646,
7500,3319481.38642992,-1318261.83768536,-6839735.41924525,5184.44778250529,4705.30452848334,1608.10365173603,
7560,3625220.63109091,-1034038.50059851,-6732630.81418632,5004.21280720552,4766.34958391702,1961.12774517114,
7620,3919674.90154639,-746596.525298322,-6604521.64650725,4808.37834628093,4812.56425915043,2308.07459534639,
7680,4201926.05114933,-456830.359537535,-6455804.96983401,4597.5463586066,4843.80195383147,2647.86678821942,
7740,4471093.45193541,-165641.880626077,-6286941.87116196,4372.36522885343,4859.96169433852,2979.44782172363,
7800,4726336.72865797,126062.355210382,-6098456.12104122,4133.52802918013,4860.98855224615,3301.78527212052,
7860,4966858.38456888,417373.885740229,-5890932.63436083,3881.77064634041,4846.87396857716,3613.87394189093,
7920,5191906.31026136,707385.132137868,-5665015.74272104,3617.86975217041,4817.65597666061,3914.73899199433,
7980,5400776.16537685,995192.198042801,-5421407.27960195,3342.6405918691,4773.41929419595,4203.43904496502,
8040,5592813.62198122,1279897.66918355,-5160864.4812891,3056.93458795852,4714.29524409765,4479.06921314691,
8100,5767416.45965279,1560613.40260993,-4884197.70995167,2761.63680506673,4640.46148908411,4740.76398883965,
8160,5924036.50634824,1836463.2954099,-4592268.0083493,2457.66335857377,4552.14162681436,4987.69997002395,
8220,6062181.42329875,2106586.02706155,-4285984.49398411,2145.95880006513,4449.60472407819,5219.0985109459,
8280,6181416.32964385,2370137.77149252,-3966301.59340462,1827.49336327737,4333.1647526731,5434.22840256418,
8340,6281365.2550388,2626294.86917846,-3634216.11691935,1503.25998708624,4203.1798096485,5632.40848099351,
8400,6361712.40899007,2874256.44600345,-3290764.18276187,1174.27120344994,4060.05113589664,5813.01002795483,
8460,6422203.26163848,3113246.96917286,-2937018.00322057,841.5559689569,3904.22200721408,5975.45898457199,
8520,6462645.43238158,3342518.73297802,-2574082.54157618,506.156417208888,3736.17649715155,6119.2380515387,
8580,6482909.37970728,3561354.26487469,-2203092.04664937,169.124476018563,3556.43804747368,6243.88865401982,
8640,6482928.88462778,3769068.63934449,-1825206.47614115,-168.481615081454,3365.56782999064,6349.01266860904,
8700,6462701.32452792,3965011.68889475,-1441607.82451296,-505.600796606339,3164.16297048685,6434.27388528605,
8760,6422287.73779572,4148570.10585339,-1053496.36908157,-841.172681603715,2952.85468327213,6499.39928835582,
8820,6361812.67656253,4319169.4279946,-662086.843676433,-1174.14113904892,2732.30624611238,6544.18017553305,
8880,6281463.84191207,4476275.89615414,-268604.553527991,-1503.45793926826,2503.21076257118,6568.47297520736,
8940,6181491.50209139,4619398.17298184,125718.548423261,-1828.08632553159,2266.28878684814,6572.19972296755,
9000,6062207.69985153,4748088.91707293,519647.805171029,-2147.00447163283,2022.28588775217,6555.34826215034,
9060,5923985.25528733,4861946.20992547,911949.804987452,-2459.20884926197,1771.97017584919,6517.97224522217,
9120,5767256.56793789,4960614.83220804,1301396.32550802,-2763.71755734031,1516.1297430598,6460.19094717233,
9180,5592512.22067582,5043787.38319932,1686768.25892445,-3059.57358663302,1255.57000338275,6382.18881236552,
9240,5400299.39144136,5111205.2394386,2066859.50201149,-3345.84795664038,991.11100248278,6284.21474827744,
9300,5191220.08011311,5162659.35142217,2440480.79794735,-3621.64274921163,723.584702491373,6166.58122843145,
9360,4965929.15576,5197990.87543941,2806463.51803908,-3886.09405920988,453.83219709421,6029.66317589166,
9420,4725132.2303752,5217091.63624805,3163663.36847649,-4138.3748174299,182.700864683478,5873.89657536189,
9480,4469583.3686248,5219904.41852003,3510964.00549447,-4377.69742480398,-88.9584806617581,5699.77681376505,
9540,4200082.6460899,5206423.0888236,3847280.54431536,-4603.31616856371,-360.294383114869,5507.856812945,
9600,3917473.56850658,5176692.55188819,4171562.95165403,-4814.52944686826,-630.457478033075,5298.7450228112,
9660,3622640.36220111,5130808.54419622,4482799.31403522,-5010.68184314483,-898.603184499904,5073.10328588077,
9720,3316505.14413983,5068917.26690804,4780018.97343598,-5191.16606260313,-1163.89436899395,4831.64454427512,
9780,3000024.98073905,4991214.86003078,5062295.5199662,-5355.42469474031,-1425.50396876787,4575.13036754877,
9840,2674188.8473065,4897946.72130799,5328749.63157654,-5502.95175981723,-1682.61753870213,4304.36833670394,
9900,2340014.50100071,4789406.67501168,5578551.75424207,-5633.29405224016,-1934.43571013925,4020.20935221912,
9960,1998545.27800439,4665935.99505395,5810924.61901617,-5746.05233074821,-2180.1765955384,3723.5448838405,
10020,1650846.82351731,4527922.28475591,6025145.59097183,-5840.88236154027,-2419.07815873671,3415.30410608565,
10080,1298003.76484942,4375798.21678938,6220548.84216546,-5917.49576504924,-2650.40049209051,3096.45090494457,
10140,941116.339630935,4210040.14059528,6396527.34311761,-5975.66067446636,-2873.42795859794,2767.9808350897,
10200,581296.988608291,4031166.56421244,6552534.67108897,-6015.202264326,-3087.47124701548,2430.91804934896,
10260,219666.920650748,3839736.51435707,6688086.63181682,-6036.00313856997,-3291.86937350152,2086.31214247523,
