tSec,x,y,z,vx,vy,vz,
1440,169017.481313121,616740.268156406,7040361.12071081,-7499.41467134428,23.2025565914245,249.696309309063,
1450,94015.250650455,616937.687241453,7042461.94148019,-7500.89109600077,16.2812437243631,170.467930181387,
1460,19002.466069473,617065.893978501,7043770.49574647,-7501.52552078901,9.360215111129,91.2444802788921,
1470,-56012.4545564652,617124.895052209,7044286.87692998,-7501.31838594778,2.44023902753678,12.0347832353657,
1480,-131021.098211023,617114.704825435,7044011.26662681,-7500.27022258922,-4.47791717453102,-67.1523495427661,
1490,-206015.057642276,617035.345329571,7042943.9344834,-7498.38165245581,-11.3934871582565,-146.308119485888,
1500,-280985.932268389,616886.84625382,7041085.23806499,-7495.65338781342,-18.3057057190587,-225.423741532063,
1510,-355925.32908263,616669.24493321,7038435.62271665,-7492.08623141139,-25.2138089204379,-304.49044491401,
1520,-430824.863557975,616382.586335202,7034995.62141595,-7487.68107642764,-32.1170342355087,-383.49947405896,
1530,-505676.160550841,616026.923044926,7030765.85461621,-7482.43890634544,-39.0146206772648,-462.442089551808,
1540,-580470.855203216,615602.315249239,7025747.03008006,-7476.36079475897,-45.9058089012063,-541.309569102236,
1550,-655200.59384263,615108.830719942,7019939.94270349,-7469.44790514397,-52.7898412709573,-620.093208485186,
1560,-729857.034879845,614546.544796517,7013345.47433055,-7461.70149063614,-59.6659618896689,-698.784322469996,
1570,-804431.849704439,613915.540368663,7005964.59355864,-7453.12289382958,-66.5334166126417,-777.374245786041,
1580,-878916.72357835,613215.907858704,6997798.35553372,-7443.71354656305,-73.3914530637105,-855.854334170555,
1590,-953303.356526969,612447.745203728,6988847.90173464,-7433.47496962927,-80.2393206755643,-934.2159655076,
1600,-1027583.46422666,611611.15783716,6979114.45974571,-7422.40877234393,-87.0762707629642,-1012.45054101601,
1610,-1101748.77888712,610706.258669458,6968599.34301754,-7410.51665194649,-93.9015566228796,-1090.54948640611,
1620,-1175791.05012701,609733.168067742,6957303.95061677,-7397.80039285665,-100.714433643711,-1168.50425291949,
1630,-1249702.0458417,608692.013834376,6945229.76696629,-7384.26186585521,-107.514159402026,-1246.30631819405,
1640,-1323473.55306277,607582.931184722,6932378.3615777,-7369.90302727596,-114.299993730441,-1323.94718694469,
1650,-1397097.37880982,606406.06272438,6918751.38877783,-7354.72591828415,-121.071198751459,-1401.4183914953,
1660,-1470565.35093578,605161.558426241,6904350.58743035,-7338.73266428451,-127.827038884153,-1478.71149222607,
1670,-1543869.31896684,603849.575607542,6889177.78065303,-7321.92547446394,-134.56678083947,-1555.8180780047,
1680,-1617001.15493849,602470.278906947,6873234.87553061,-7304.30664144386,-141.289693623069,-1632.72976665595,
