tSec,ra,dec,range,range_rate,
3590,99999999,99999999,99999999,99999999,
3600,99999999,99999999,99999999,99999999,
3610,99999999,99999999,99999999,99999999,
3620,99999999,99999999,99999999,99999999,
3630,99999999,99999999,99999999,99999999,
3640,99999999,99999999,99999999,99999999,
3650,99999999,99999999,99999999,99999999,
3660,99999999,99999999,99999999,99999999,
3670,99999999,99999999,99999999,99999999,
3680,99999999,99999999,99999999,99999999,
3690,99999999,99999999,99999999,99999999,
3700,99999999,99999999,99999999,99999999,
3710,99999999,99999999,99999999,99999999,
3720,99999999,99999999,99999999,99999999,
3730,99999999,99999999,99999999,99999999,
3740,99999999,99999999,99999999,99999999,
3750,99999999,99999999,99999999,99999999,
3760,99999999,99999999,99999999,99999999,
3770,99999999,99999999,99999999,99999999,
3780,99999999,99999999,99999999,99999999,
3790,99999999,99999999,99999999,99999999,
3800,99999999,99999999,99999999,99999999,
3810,99999999,99999999,99999999,99999999,
3820,99999999,99999999,99999999,99999999,
3830,99999999,99999999,99999999,99999999,
3840,99999999,99999999,99999999,99999999,
3850,99999999,99999999,99999999,99999999,
3860,99999999,99999999,99999999,99999999,
3870,99999999,99999999,99999999,99999999,
3880,99999999,99999999,99999999,99999999,
3890,99999999,99999999,99999999,99999999,
3900,99999999,99999999,99999999,99999999,
3910,99999999,99999999,99999999,99999999,
3920,99999999,99999999,99999999,99999999,
3930,99999999,99999999,99999999,99999999,
3940,99999999,99999999,99999999,99999999,
3950,99999999,99999999,99999999,99999999,
3960,99999999,99999999,99999999,99999999,
3970,99999999,99999999,99999999,99999999,
3980,99999999,99999999,99999999,99999999,
3990,99999999,99999999,99999999,99999999,
4000,99999999,99999999,99999999,99999999,
4010,99999999,99999999,99999999,99999999,
4020,99999999,99999999,99999999,99999999,
4030,99999999,99999999,99999999,99999999,
4040,99999999,99999999,99999999,99999999,
4050,99999999,99999999,99999999,99999999,
4060,99999999,99999999,99999999,99999999,
4070,99999999,99999999,99999999,99999999,
4080,99999999,99999999,99999999,99999999,
4090,99999999,99999999,99999999,99999999,
4100,99999999,99999999,99999999,99999999,
4110,99999999,99999999,99999999,99999999,
4120,99999999,99999999,99999999,99999999,
4130,99999999,99999999,99999999,99999999,
4140,99999999,99999999,99999999,99999999,
4150,99999999,99999999,99999999,99999999,
4160,99999999,99999999,99999999,99999999,
4170,99999999,99999999,99999999,99999999,
4180,99999999,99999999,99999999,99999999,
4190,99999999,99999999,99999999,99999999,
4200,99999999,99999999,99999999,99999999,
4210,99999999,99999999,99999999,99999999,
4220,99999999,99999999,99999999,99999999,
4230,99999999,99999999,99999999,99999999,
4240,99999999,99999999,99999999,99999999,
4250,99999999,99999999,99999999,99999999,
4260,99999999,99999999,99999999,99999999,
4270,99999999,99999999,99999999,99999999,
4280,99999999,99999999,99999999,99999999,
4290,99999999,99999999,99999999,99999999,
4300,99999999,99999999,99999999,99999999,
4310,99999999,99999999,99999999,99999999,
4320,99999999,99999999,99999999,99999999,
4330,99999999,99999999,99999999,99999999,
4340,99999999,99999999,99999999,99999999,
4350,99999999,99999999,99999999,99999999,
4360,99999999,99999999,99999999,99999999,
4370,99999999,99999999,99999999,99999999,
4380,99999999,99999999,99999999,99999999,
4390,99999999,99999999,99999999,99999999,
4400,99999999,99999999,99999999,99999999,
4410,99999999,99999999,99999999,99999999,
4420,99999999,99999999,99999999,99999999,
4430,99999999,99999999,99999999,99999999,
4440,99999999,99999999,99999999,99999999,
4450,99999999,99999999,99999999,99999999,
4460,99999999,99999999,99999999,99999999,
4470,99999999,99999999,99999999,99999999,
4480,99999999,99999999,99999999,99999999,
4490,99999999,99999999,99999999,99999999,
4500,99999999,99999999,99999999,99999999,
4510,99999999,99999999,99999999,99999999,
4520,99999999,99999999,99999999,99999999,
4530,99999999,99999999,99999999,99999999,
4540,99999999,99999999,99999999,99999999,
4550,99999999,99999999,99999999,99999999,
4560,99999999,99999999,99999999,99999999,
4570,99999999,99999999,99999999,99999999,
4580,99999999,99999999,99999999,99999999,
4590,99999999,99999999,99999999,99999999,
4600,99999999,99999999,99999999,99999999,
4610,99999999,99999999,99999999,99999999,
4620,99999999,99999999,99999999,99999999,
4630,99999999,99999999,99999999,99999999,
4640,99999999,99999999,99999999,99999999,
4650,99999999,99999999,99999999,99999999,
4660,99999999,99999999,99999999,99999999,
4670,99999999,99999999,99999999,99999999,
4680,99999999,99999999,99999999,99999999,
4690,99999999,99999999,99999999,99999999,
4700,99999999,99999999,99999999,99999999,
4710,99999999,99999999,99999999,99999999,
4720,99999999,99999999,99999999,99999999,
4730,99999999,99999999,99999999,99999999,
4740,99999999,99999999,99999999,99999999,
4750,99999999,99999999,99999999,99999999,
4760,99999999,99999999,99999999,99999999,
4770,99999999,99999999,99999999,99999999,
4780,99999999,99999999,99999999,99999999,
4790,99999999,99999999,99999999,99999999,
4800,99999999,99999999,99999999,99999999,
4810,99999999,99999999,99999999,99999999,
4820,99999999,99999999,99999999,99999999,
4830,99999999,99999999,99999999,99999999,
4840,99999999,99999999,99999999,99999999,
4850,99999999,99999999,99999999,99999999,
4860,99999999,99999999,99999999,99999999,
4870,99999999,99999999,99999999,99999999,
4880,99999999,99999999,99999999,99999999,
4890,99999999,99999999,99999999,99999999,
4900,99999999,99999999,99999999,99999999,
4910,99999999,99999999,99999999,99999999,
4920,99999999,99999999,99999999,99999999,
4930,99999999,99999999,99999999,99999999,
4940,99999999,99999999,99999999,99999999,
4950,99999999,99999999,99999999,99999999,
4960,99999999,99999999,99999999,99999999,
4970,99999999,99999999,99999999,99999999,
4980,99999999,99999999,99999999,99999999,
4990,99999999,99999999,99999999,99999999,
5000,99999999,99999999,99999999,99999999,
5010,99999999,99999999,99999999,99999999,
5020,99999999,99999999,99999999,99999999,
5030,99999999,99999999,99999999,99999999,
5040,99999999,99999999,99999999,99999999,
5050,99999999,99999999,99999999,99999999,
5060,99999999,99999999,99999999,99999999,
5070,99999999,99999999,99999999,99999999,
5080,99999999,99999999,99999999,99999999,
5090,99999999,99999999,99999999,99999999,
5100,99999999,99999999,99999999,99999999,
5110,99999999,99999999,99999999,99999999,
5120,99999999,99999999,99999999,99999999,
5130,99999999,99999999,99999999,99999999,
5140,99999999,99999999,99999999,99999999,
5150,99999999,99999999,99999999,99999999,
5160,99999999,99999999,99999999,99999999,
5170,99999999,99999999,99999999,99999999,
5180,99999999,99999999,99999999,99999999,
5190,99999999,99999999,99999999,99999999,
5200,99999999,99999999,99999999,99999999,
5210,99999999,99999999,99999999,99999999,
5220,99999999,99999999,99999999,99999999,
5230,99999999,99999999,99999999,99999999,
5240,99999999,99999999,99999999,99999999,
5250,99999999,99999999,99999999,99999999,
5260,99999999,99999999,99999999,99999999,
5270,99999999,99999999,99999999,99999999,
5280,99999999,99999999,99999999,99999999,
5290,99999999,99999999,99999999,99999999,
5300,99999999,99999999,99999999,99999999,
5310,99999999,99999999,99999999,99999999,
5320,99999999,99999999,99999999,99999999,
5330,99999999,99999999,99999999,99999999,
5340,99999999,99999999,99999999,99999999,
5350,99999999,99999999,99999999,99999999,
5360,99999999,99999999,99999999,99999999,
5370,99999999,99999999,99999999,99999999,
5380,99999999,99999999,99999999,99999999,
5390,99999999,99999999,99999999,99999999,
5400,99999999,99999999,99999999,99999999,
5410,99999999,99999999,99999999,99999999,
5420,99999999,99999999,99999999,99999999,
5430,99999999,99999999,99999999,99999999,
5440,99999999,99999999,99999999,99999999,
5450,99999999,99999999,99999999,99999999,
5460,99999999,99999999,99999999,99999999,
5470,99999999,99999999,99999999,99999999,
5480,99999999,99999999,99999999,99999999,
5490,99999999,99999999,99999999,99999999,
5500,99999999,99999999,99999999,99999999,
5510,99999999,99999999,99999999,99999999,
5520,99999999,99999999,99999999,99999999,
5530,99999999,99999999,99999999,99999999,
5540,99999999,99999999,99999999,99999999,
5550,99999999,99999999,99999999,99999999,
5560,99999999,99999999,99999999,99999999,
5570,99999999,99999999,99999999,99999999,
